"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/04/2022","AQS","370510009","3","18","ug/m3 SC","17","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/05/2022","AQS","370510009","3","42","ug/m3 SC","39","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/06/2022","AQS","370510009","3","21","ug/m3 SC","19","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/07/2022","AQS","370510009","3","24","ug/m3 SC","22","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/08/2022","AQS","370510009","3","13","ug/m3 SC","12","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/09/2022","AQS","370510009","3","14","ug/m3 SC","13","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/10/2022","AQS","370510009","3","10","ug/m3 SC","9","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/11/2022","AQS","370510009","3","10","ug/m3 SC","9","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/12/2022","AQS","370510009","3","9","ug/m3 SC","8","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/13/2022","AQS","370510009","3","10","ug/m3 SC","9","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/14/2022","AQS","370510009","3","13","ug/m3 SC","12","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/15/2022","AQS","370510009","3","18","ug/m3 SC","17","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/16/2022","AQS","370510009","3","14","ug/m3 SC","13","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/17/2022","AQS","370510009","3","8","ug/m3 SC","7","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/18/2022","AQS","370510009","3","15","ug/m3 SC","14","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/19/2022","AQS","370510009","3","18","ug/m3 SC","17","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/20/2022","AQS","370510009","3","13","ug/m3 SC","12","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/21/2022","AQS","370510009","3","15","ug/m3 SC","14","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/22/2022","AQS","370510009","3","18","ug/m3 SC","17","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/23/2022","AQS","370510009","3","22","ug/m3 SC","20","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/24/2022","AQS","370510009","3","13","ug/m3 SC","12","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/25/2022","AQS","370510009","3","27","ug/m3 SC","25","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/26/2022","AQS","370510009","3","26","ug/m3 SC","24","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"03/27/2022","AQS","370510009","3","12","ug/m3 SC","11","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
