"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/03/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/04/2022","AQS","370130151","1","2.4","ppb","3","Bayview Ferry","22","92.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/05/2022","AQS","370130151","1","0.9","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/06/2022","AQS","370130151","1","2.2","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/07/2022","AQS","370130151","1","0.8","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/08/2022","AQS","370130151","1","-0.2","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/09/2022","AQS","370130151","1","-0.3","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/10/2022","AQS","370130151","1","5.3","ppb","7","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/11/2022","AQS","370130151","1","5.2","ppb","7","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/12/2022","AQS","370130151","1","6","ppb","9","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/13/2022","AQS","370130151","1","0.3","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/14/2022","AQS","370130151","1","4","ppb","6","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/15/2022","AQS","370130151","1","-0.2","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/16/2022","AQS","370130151","1","4.1","ppb","6","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/17/2022","AQS","370130151","1","-0.4","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/18/2022","AQS","370130151","1","-0.4","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/19/2022","AQS","370130151","1","-0.3","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/20/2022","AQS","370130151","1","-0.2","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/21/2022","AQS","370130151","1","-0.2","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/22/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/23/2022","AQS","370130151","1","2.1","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/24/2022","AQS","370130151","1","9.3","ppb","13","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/25/2022","AQS","370130151","1","8.3","ppb","11","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/26/2022","AQS","370130151","1","1.6","ppb","1","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/27/2022","AQS","370130151","1","-0.4","ppb","0","Bayview Ferry","22","92.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/28/2022","AQS","370130151","1","-0.2","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/29/2022","AQS","370130151","1","0.4","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/30/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/01/2022","AQS","370130151","1","2.2","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/02/2022","AQS","370130151","1","3.2","ppb","4","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/03/2022","AQS","370130151","1","1.8","ppb","1","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/04/2022","AQS","370130151","1","3.2","ppb","4","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/05/2022","AQS","370130151","1","1.7","ppb","1","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/06/2022","AQS","370130151","1","-0.4","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/07/2022","AQS","370130151","1","0.2","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/08/2022","AQS","370130151","1","-0.7","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/09/2022","AQS","370130151","1","-0.5","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/10/2022","AQS","370130151","1","-0.6","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/11/2022","AQS","370130151","1","-0.6","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/12/2022","AQS","370130151","1","-0.7","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/13/2022","AQS","370130151","1","-0.8","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/14/2022","AQS","370130151","1","-0.7","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/15/2022","AQS","370130151","1","0.4","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/16/2022","AQS","370130151","1","11.5","ppb","16","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/17/2022","AQS","370130151","1","1.8","ppb","1","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/18/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/19/2022","AQS","370130151","1","7.4","ppb","10","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/20/2022","AQS","370130151","1","0.3","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/21/2022","AQS","370130151","1","1.7","ppb","1","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"05/22/2022","AQS","370130151","1","1.4","ppb","1","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
