"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/22/2022","AQS","370670022","1","15.5","ppb","14","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/23/2022","AQS","370670022","1","28.7","ppb","26","Hattie Avenue","19","79.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/24/2022","AQS","370670022","1","7.4","ppb","7","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/25/2022","AQS","370670022","1","9.1","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/26/2022","AQS","370670022","1","14.3","ppb","13","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/27/2022","AQS","370670022","1","14.8","ppb","13","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/28/2022","AQS","370670022","1","19","ppb","18","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/01/2022","AQS","370670022","1","24.6","ppb","23","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/02/2022","AQS","370670022","1","29.6","ppb","27","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/03/2022","AQS","370670022","1","14.6","ppb","13","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/04/2022","AQS","370670022","1","13.5","ppb","12","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/05/2022","AQS","370670022","1","18.2","ppb","17","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/06/2022","AQS","370670022","1","6.2","ppb","6","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/07/2022","AQS","370670022","1","5.3","ppb","5","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/08/2022","AQS","370670022","1","10.3","ppb","9","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/09/2022","AQS","370670022","1","5.3","ppb","5","Hattie Avenue","19","79.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/10/2022","AQS","370670022","1","13.5","ppb","12","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/11/2022","AQS","370670022","1","16.6","ppb","15","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/12/2022","AQS","370670022","1","4","ppb","4","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/13/2022","AQS","370670022","1","8.6","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/14/2022","AQS","370670022","1","26.9","ppb","25","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/15/2022","AQS","370670022","1","30","ppb","28","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/17/2022","AQS","370670022","1","39.7","ppb","37","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/18/2022","AQS","370670022","1","29.8","ppb","27","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/19/2022","AQS","370670022","1","4.5","ppb","4","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/20/2022","AQS","370670022","1","5.8","ppb","5","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/21/2022","AQS","370670022","1","29.7","ppb","27","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/22/2022","AQS","370670022","1","15","ppb","14","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/23/2022","AQS","370670022","1","6.6","ppb","6","Hattie Avenue","20","83.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/24/2022","AQS","370670022","1","9.7","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/26/2022","AQS","370670022","1","4.5","ppb","4","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/27/2022","AQS","370670022","1","9.8","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/28/2022","AQS","370670022","1","19.2","ppb","18","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/29/2022","AQS","370670022","1","7.9","ppb","7","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/30/2022","AQS","370670022","1","21.8","ppb","20","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/31/2022","AQS","370670022","1","3.8","ppb","3","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/01/2022","AQS","370670022","1","4.2","ppb","4","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/02/2022","AQS","370670022","1","8.4","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/03/2022","AQS","370670022","1","9.2","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/04/2022","AQS","370670022","1","12.9","ppb","11","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/05/2022","AQS","370670022","1","18.1","ppb","17","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/06/2022","AQS","370670022","1","11.4","ppb","10","Hattie Avenue","20","83.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/07/2022","AQS","370670022","1","9.2","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/08/2022","AQS","370670022","1","21","ppb","20","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/09/2022","AQS","370670022","1","4","ppb","4","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
